circoscrizione,nome,votanti,bianche,nulle,primo,punti_primo,secondo,punti_secondo,terzo,punti_terzo,centro_sinistra,popolo_famiglia,potere_popolo,liberi_uguali,m5s,centro_destra,validi
1,Gardolo,6933,"0,85","2,83",centro destra,"39,4",centro sinistra,28,m5s,"2,9","28,0","0,8","1,3","2,9","27,6","39,4",6678
2,Meano,2819,"0,78","2,66",centro destra,"37,1",centro sinistra,29,m5s,"2,8","29,0","1,0","1,1","2,8","28,9","37,1",2722
3,Bondone,3128,"0,99","1,89",centro sinistra,"34,1",centro destra,"32,9",m5s,"1,9","34,1","1,1","1,3","3,4","27,2","32,9",3038
4,Sardagna,680,"0,29","1,47",centro sinistra,"40,4",centro destra,"31,3",m5s,"1,5","40,4","2,8","1,3","2,4","21,7","31,3",668
5,Ravina-Romagnano,2681,"1,01","1,94",centro destra,"38,2",centro sinistra,"36,4",m5s,"2,0","36,4","0,8","1,0","4,3","26,3","38,2",2602
6,Argentario,7456,"0,76","1,52",centro sinistra,"38,4",centro destra,"32,2",m5s,"1,6","38,4","1,1","1,5","4,9","22,0","32,2",7286
7,Povo,3232,"0,31","4,42",centro sinistra,"43,4",centro destra,"27,1",m5s,"4,6","43,4","1,1","2,0","5,1","21,4","27,1",3079
8,Mattarello,3530,"0,93","3,12",centro destra,"34,9",centro sinistra,"33,4",m5s,"3,2","33,4","0,8","1,4","3,9","25,5","34,9",3387
9,Villazzano,3107,"0,71","1,8",centro sinistra,"39,8",centro destra,"31,5",m5s,"1,8","39,8","1,1","0,9","4,5","22,1","31,5",3029
10,Oltrefersina,10518,"0,82","1,78",centro sinistra,"38,9",centro destra,"31,6",m5s,"1,8","38,9","1,1","1,9","5,2","21,3","31,6",10245
11,S.Giuseppe â€“ S. Chiara,9320,"0,94","1,83",centro sinistra,"42,6",centro destra,"29,3",m5s,"1,9","42,6","1,1","2,4","6,1","18,5","29,3",9061
12,Centro Storico Piedicastello,10065,"0,86","2,1",centro sinistra,"36,8",centro destra,32,m5s,"2,2","36,8","0,8","2,6","5,5","22,2","32,0",9767
